art_no,art_name,hierarchy_level1_id,hierarchy_level1_desc,hierarchy_level2_id,hierarchy_level2_desc,hierarchy_level3_id,hierarchy_level3_desc,date_of_day,store_count,sold_qty_units,total_cust_count,low_stock_warning,unit_price_weekly,unit_discount_weekly
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-02-13,22,66.0,31,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-01-23,23,72.0,32,0,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-12-12,47,253.0,104,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-05-09,21,62.0,27,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-09-26,38,198.0,84,0,0.64,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-04-11,30,120.0,50,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-02-20,21,102.0,31,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-10-15,33,129.0,54,0,0.87,-0.02
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-11-05,42,185.0,85,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-12-24,34,116.0,64,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-07-04,14,35.0,16,0,0.87,-0.02
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-11-12,33,175.0,62,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-05-30,17,52.0,19,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-12-31,29,85.0,38,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-10-08,30,150.0,43,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2021-01-21,36,142.0,60,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-09-05,36,130.0,54,0,0.64,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-08-20,24,58.0,25,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-12-10,49,343.0,145,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-11-19,32,101.0,54,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-09-03,26,67.0,34,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-03-05,38,153.0,66,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-06-27,13,26.0,16,1,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2021-01-14,42,172.0,88,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-05-14,33,156.0,70,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2021-01-28,34,113.0,53,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-07-11,17,37.0,18,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-03-12,53,444.0,184,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-01-02,23,79.0,36,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-09-17,22,67.0,28,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-11-14,28,76.0,43,0,0.72,-0.17
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-05-07,22,70.0,32,0,0.87,-0.02
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-12-03,46,273.0,108,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-04-09,32,121.0,43,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-10-03,34,151.0,53,0,0.64,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-08-27,23,46.0,26,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-04-16,27,107.0,43,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-09-19,25,61.0,28,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2021-02-25,34,105.0,50,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-04-04,26,67.0,32,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-01-09,19,45.0,22,0,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-04-02,44,184.0,81,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-12-05,44,184.0,75,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-05-23,17,100.0,21,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-07-25,18,83.0,20,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-10-29,49,249.0,116,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-08-29,24,94.0,32,0,0.64,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-11-07,31,119.0,47,0,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-02-27,47,280.0,119,0,0.74,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-12-26,28,101.0,50,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-04-23,19,55.0,24,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2021-01-07,28,104.0,49,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-04-25,16,60.0,20,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-04-30,29,104.0,47,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-07-23,21,52.0,24,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-03-14,32,99.0,41,0,0.71,-0.18
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-07-18,14,37.0,15,0,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-10-22,29,139.0,57,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-02-06,24,70.0,32,0,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-05-02,14,46.0,17,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-06-25,13,32.0,15,1,0.89,-0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-01-16,22,98.0,35,0,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2019-06-20,8,17.0,9,1,0.89,0.0
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-06-18,20,66.0,32,0,0.88,-0.01
10,Meat Sauce,100,Processed_Food,3,Broth_Products,4,Soup_Broth_Products,2020-06-04,22,73.0,34,0,0.89,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-06-25,49,84.0,76,0,8.46,-0.03
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-11-12,46,101.0,92,0,8.48,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-12-17,62,167.0,151,0,8.46,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-06-20,68,147.0,130,0,6.72,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-01-23,57,97.0,83,0,6.56,-0.11
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-07-11,63,134.0,116,0,6.66,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-04-23,42,71.0,62,0,7.65,-0.84
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-08-15,64,131.0,111,0,6.68,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-10-31,59,120.0,99,0,6.72,-0.02
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-11-26,56,102.0,94,0,8.42,-0.07
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-01-09,48,107.0,86,0,6.69,-0.01
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2020-03-19,47,88.0,81,0,6.67,-0.0
13,500g Indian Curry,100,Processed_Food,4,Spices,2,Spices I,2019-08-29,60,100.0,93,0,6.67,-0.0
